,net_return
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,-0.00015016597536390605
2015-08-03,-0.0017076882905071773
2015-08-04,0.0015262706703304738
2015-08-05,-6.71984043640698e-05
2015-08-06,-4.287729581566498e-05
2015-08-07,0.007316033531118111
2015-08-10,0.005084239993508659
2015-08-11,-0.0024372533291615595
2015-08-12,-0.0046427750770241345
2015-08-13,-0.006863691052710526
2015-08-14,0.003756656122831483
2015-08-17,0.001542316506190929
2015-08-18,0.002618610567447018
2015-08-19,-0.00044624866234077554
2015-08-20,0.0025210219477195817
2015-08-21,0.002208081970760778
2015-08-24,0.006076256622271255
2015-08-25,-0.000878810285275348
2015-08-26,-0.00868508075440616
2015-08-27,-0.005186536102361121
2015-08-28,0.003720126200187542
2015-08-31,0.007789823281219375
2015-09-01,-0.0046424885329898165
2015-09-02,0.008033391743425026
2015-09-03,0.005306461551755533
2015-09-04,-0.0034352717902849106
2015-09-07,0.0024679964187631263
2015-09-08,0.0007394616495571878
2015-09-09,0.0021601213962456622
2015-09-10,0.004592743861962456
2015-09-11,-0.00015683206098352867
2015-09-14,0.00997353749410094
2015-09-15,0.0028929726111595697
2015-09-16,-0.015249360824808269
2015-09-17,-0.0025624590518504996
2015-09-18,-0.0012754376366182856
2015-09-21,0.005612418003753987
2015-09-22,0.005515854515480516
2015-09-23,-0.0029827837625507523
2015-09-24,0.0022731807044893415
2015-09-25,0.00764337679972682
2015-09-28,-0.0008964292177562708
2015-09-29,0.003858893528205038
2015-09-30,-0.003619048109269977
2015-10-01,-0.006255670113899277
2015-10-02,0.005240141337975494
2015-10-05,-8.182711401546101e-05
2015-10-06,0.0016928472926606667
2015-10-07,-0.0010538449582920848
2015-10-08,-0.004548417149528423
2015-10-09,0.005717942810997911
2015-10-12,-0.001760605670900713
2015-10-13,0.000739419233111829
2015-10-14,-0.000979543564864508
2015-10-15,0.002974825701999214
2015-10-16,0.006226686253486324
2015-10-19,0.0022581182113503204
2015-10-20,0.0022841050975391983
2015-10-21,-0.005032114912971526
2015-10-22,7.02287615128911e-05
2015-10-23,-0.011559132102115588
2015-10-26,-0.0025008565545612074
2015-10-27,0.005432581044740055
2015-10-28,-0.005489297580450096
2015-10-29,0.0028129515363847254
2015-10-30,0.0016795986158242196
2015-11-02,0.003716873281780201
2015-11-03,-0.00899608178129416
2015-11-04,-0.025012267263312533
2015-11-05,0.003211578079406892
2015-11-06,-0.00039073066216290436
2015-11-09,-0.006469883047063898
2015-11-10,-0.00026934238556748386
2015-11-11,0.0005700024496031094
2015-11-12,0.0005024156792545383
2015-11-13,-0.0018268316719736537
2015-11-16,0.0033079768841750047
2015-11-17,-0.005408290574812687
2015-11-18,-0.005263978916214833
2015-11-19,0.00026475474644295965
2015-11-20,0.001186838284170914
2015-11-23,0.0018193646766124782
2015-11-24,0.0019976784719552
2015-11-25,-0.0008722598766125281
2015-11-26,0.0007074576056030901
2015-11-27,-0.0017163679356608046
2015-11-30,-0.001889466960663222
2015-12-01,-0.002187517270348771
2015-12-02,-0.0034385448882500304
