date,instrument,strategy,target_weight,executed_weight,session_return,mode
2017-11-17,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-11-20,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-11-21,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-11-22,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-11-23,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-11-24,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-11-27,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-11-28,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-11-29,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-11-30,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-01,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-04,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-05,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-06,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-07,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-08,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-11,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-12,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-13,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-14,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-15,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-18,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-19,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-20,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-21,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-22,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-25,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-26,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-27,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2017-12-28,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2017-12-29,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-01,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-02,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-03,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-04,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-05,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-08,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-09,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-10,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-11,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-12,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-15,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-16,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-17,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-18,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-19,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-22,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-23,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-24,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-25,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,0.0,SHADOW_ONLY
2018-01-26,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
2018-01-29,EQ_A,"ma_trend[fast=10,slow=100]",0.0,0.0,-0.0,SHADOW_ONLY
